job_title,skills
사진작가 및 사진사,"사진촬영, 포토그래피 관련 기술, 영상편집"
사회복지관리자,"환자상담 및 일지 작성, 사회복지사 필수 역량, 운전 가능자, 공공사업 업무, 정신건강사회복지사 우대, 국고보조사업 유경험 우대, 프로그램 계획 및 진행, 치매검진 업무, 행정업무 경력"
사회복지사,"컴퓨터활용능력, 행정, 치료서비스 지원, 복지연계, 사회복지사업법에 따른 결격사유 미해당, 요양보호사 관리업무, 다문화가족 교육활동, 가족복지, 사회복지사의 자격, 장애인복지 역량, 사회복지사 2급 이상 자격증 소지, 발달장애인 케어, 사회복지사 자격증, 입사지원현황통계, 회계 담당, 요양원 운영 관리, 고객 서비스능력, 자립지원 서비스, 긴급 대응능력, 관련학과 학사학위, 사무업무, 사회복지 관련 역량, 재택의료센터 운영, 노인 및 장애인 복지에 대한 이해, 장애인 활동 지원, 사회복지 지식, 사회복지 분야 학위 소지, 자활사업 운영지원, 사회복지 분야 지식 및 경험, 가정폭력상담원 교육 이수, 관련 사업 경력, 노인복지 서비스, 회복사업, 상담 능력, 포토샵 활용, 사회복지 역량, 승합차 운전 가능능, 사회복지 활동 계획 수립, 방문요양, 사회복지, 장애인자립생활센터 업무, 차량운전, 사회재활교사, 사회복지사 자격증 소지, 문제해결 능력, 운전면허, 성인 발달장애인 주간활동서비스 업무전반 관련 역량, 복지 서비스 제공 능력, 요양원 관리, 서류업무, 팀원 역할 및 협업., 사회복지업무, 상담, 사회복지사 근무 경험, 주간보호센터, 노인복지, 노인복지 역량, 1종 보통운전면허, 건강가정사 또는 사회복지사 자격, 한글/엑셀/ppt 가능, 사회복지 이론과 실무에 대한 이해, 범죄 및 성폭력범죄 조회 시 결격사유 없음, 사회복지사 관련 업무 수행 능력, 아동관리, 야학, 재가복지센터 관리, 지역 사회복지 활동, 사회복지 업무 지식, 운전능력, 사회복지 업무에 대한 이해능력, 치매프로그램, 운전면허 소지, 장애인 지원, 장애인복지, 컴퓨터 활용, 입사지원현황통계분석, 생활복지사 역할 수행 능력, 장애인 복지 서비스, 사회복지사, 지원사업 운영, 커뮤니케이션 능력, 스타렉스 운전, 방문요양분야 경력 관련 기술, 사회복지 관련 업무지식, 컴퓨터 활용 능력 (엑셀 및 기타), 생활복지, 사회재활교사 역량, 방문요양 경력, 아동센터 경력, 사람과의 소통, 행정업무, 사례관리, 사회복지사업법 지식, 방문상담, 성인문해교육, 사회복지 업무, 청각장애인을 위한 사회복지 역량, 노인복지 및 장애인복지 관련 역량, 중증장애인자립지원사업, 운전면허증 1종 소지"
산업 안전원 및 위험 관리원,"위험물 관리, 안전관리"
산업 전기공,"전기공, 철도기관차, 전기공학, 태양광 관련 전기공사 관련 기술, 보조업무 수행 능력, 전기 관련 기술, 전동차 관련 기술, 선박, 전동차, 항공기"
산업안전원,"산업 안전원, 안전관리, 위험물 관리원, 계약직능력, 공장안전관리자, 산업안전, 산업안전담당자, 위험물안전관리사, 위험물관리원, 위험물 관리, 산업 안전 관리, 보건관리, 유해화학물질 기술력"
상·하수도 처리장치 조작원,"상하수도 처리장치 조작, 기계분야 기술, 운영관리, 상하수도 처리장치 조작능력"
상담 전문가,"심리학, 사회복지사, 미디어 관련 역량, 팀원(상담원), 상담학, 노인상담사, 성폭력 상담 역량, 심리교육, 문제해결능력, 상담 역량, 간호사, 성폭력상담사, 상담 및 상담 기술, 보건학, 상담능력"
상점 판매원,"상품 관리, 매장내 상품 진열 관리, 배송업무, 판매 역량"
상품 기획자,"마케팅 전략, 마케팅, 팀원 관리, 홍보, 상품 관리, 전략, 상품 기획, 시장 분석, 서비스 기획, 디자인, 마케팅 동향 파악, 영업·판매·무역, 기획, 조사, MD, MD 업무, 상품 관리 (예: 재고 관리), 교육, 상품기획, 고객상담"
새시 조립·설치원,"금속 재창호, 설치, 금속재창호, 새시 조립, 금속 샷시, PVC 창호, 샷시 제작, PVC 샷시, PVC창호, 새시 제작, 창호 설치, 샷시 설치, 창호 제작, 하이샤시 창호 제작"
생명과학 연구원,"생물학 연구, 유전공학, 세포연구, 생명과학 연구, 분자생물학"
생산·품질 사무원,"공정검사능력, 3차원측정기 사용능력, 섬유, 자동차부품 프레스가공, 자동차 관련 지식, 자동차, 실험기술, 채용 프로세스 관리, 생산공정 관리, 식품 제조 품질 관리, 재고관리, 기계 공학, 금속 가공 기술, 전기, 기계 관련 기술, 사무 업무 경험, 기계, 화학 역학, 자동차부품 품질업무, 팀 리더십, 환경서류정리능력, 생산관리사무원, HACCP, 금속분야 지식, 생산공정관리, 생산관리, 품질 검사, 품질검사업무, 품질 향상, 기계 역량, 생산계획, MCT, 검사기술, 품질관리자, 사무업무 처리능력, 품질, AUTOCAD 사용, 공정 혁신, 고객품질대응, 금속, 화공 관련 기술능력, 금속 관련 지식, 음식료품 산업 지식, 프레스, 플라스틱 제품 개발, 농산물 저온저장고 관리, 생산 계획, 생산보조, 자동차 공학, 영업관리, 납품 보조, 생산 및 품질 관리, 기계 관련 지식, 기계 관련 역량, 산업기계 제작 생산관리, 3차원 측정, 실험, 사무 업무 처리 방법 숙지, 의료 역량, 통계 분석, 팀 조직력, 사무 업무 관리, 생산기술, 고객사관리, 생산 관리 보조, 기계공학, 식품 품질관리 (HACCP), 사무 업무, 섬유 제조 기술, OQC, 화학, 공정관리, 생산설비 운용, 자동차 관련 기술, 품질 시스템 운영, 인적 자원 관리, NX 사용, 품질 관리, 사무 업무 관련 역량, CNC, 개발능력, 생산, 통계분석, 생산부 지원, 자동차 부품 관리, 품질업무 관리, 금속 역량, 산업안전, 전자, 생산 관리, 사무 업무 처리, 품질(Q.A) 관리, 섬유 역량, 섬유 관련 기술, 출하 계획 관리, 출하관리, 검사업무, 생산계획사무원, 열처리, 컴퓨터, 생산 품질관리, 품질관리, 화학 역량, 영업, 자동차보호랩부문, 건설 관련 역량, 사출, 의료기기 품질 보증, PO업무지원, 생산관리원, 식품 품질관리, 수석검사, LINE QC, 품질보증, 자동차 역량, 금속 관련 기술, 생산지원, 자재관리, 품질관리(QC)"
생활지도원,"생활지원사, 장애인생활교사, 장애인 활동 보조, 장애인 근로지원, 사회복지사 자격증 또는 요양보호사 자격증 소지, PC 및 IT 활용 능력, 장애인활동보조, 생활교사, 생활 지원, 생활복지, 운전면허 소지 및 실제 차량 운전 가능, 노인생활복지사, 엑셀) 프로그램 사용가능, 노인 지원, 신뢰와 신망, 장애인 활동지원, 컴퓨터(한글, 노인 돌봄 관련 서비스 제공, 생활재활, 지원 현황 통계분석, 생활재활교사, 근로지원 인구인, 돌봄 서비스, 운전 가능자, 장애인 활동보조, 차량 소지자, 전담 사회복지사 업무 지원, 활동지원"
섀시조립·설치원,"창호유리 생산, 생산 보조"
선박 정비원,"선박기계정비, 선박 수리 관리, 선박설비정비, 선박구성품정비"
선박갑판원,"입사지원현황통계, 선원채용"
섬유 제조기계 조작원,"권사기 조작능력, 권사기, 섬유생산, 방적, 섬유 제조 관련 업무에 대한 기술, 권사기 조작 기술, 섬유 제조 기계 조작, 합사기 조작, 합사기 조작능력, 조방기 조작 기술, 방사 도핑능력, 방사도핑 기술, 생산 보조작원, 방사도핑, 생산 보조 업무에 대한 이해 및 실무 경험, 권사기 조작, 조방기 조작, 합사기 조작 기술, 방사, 연사, 합사, 조방기 조작능력"
성형외과의사,의료 관련 업무 경험
세탁원(다림질원),"위생 관리능력, 세탁, 청소 역량, 다림질, 손세탁, 다림질 기술, 다림질능력, 세탁 기술"
소규모판매점장,"매장매니저, 매장슈퍼바이저"
소방공학 기술자 및 연구원,소방안전관리
수상운송사무원,"컨테이너 검수, 컨테이너 관리, 해상 운송, 운송"
수의사보조원,"수의간호, 수의테크니션"
수질환경기술자 및 연구원,"수질환경 기술, 수질환경인허가연구, 수질환경컨설턴트, 수질환경관리기술, 수질환경 관리기술, 기술진단, 유지관리, 수질환경연구, 수처리설비설계기술, 수처리 기술, 수질오염방지설계, 수처리기술"
숙박시설 서비스원,"커뮤니케이션능력, 서비스 마인드, 고객 응대, 문제 해결능력"
스포츠강사,"수영강사, 수영지도자, 생활체육사, 골프강사, 어린이수영장 회원관리"
"스포츠강사, 레크리에이션 강사 및 기타 관련 전문가","수영강사, 탁구강사, 유아수영강사, 테니스강사, 배드민턴강사, 장애인생활체육지도자, 골프강사, 볼링강사, 골프지도사, 생활체육사"
승강기 설치·정비원,"기계 및 전기 관련 기술, 승강기 설치, 엘리베이터 유지보수, 승강기 유지보수, 정비기술"
시각 디자이너,"그래픽 디자인, 창의력, 카탈로그 및 패키지 디자인, 시각적 디자인 역량, 긍정적 자세와 책임감, 아이디어 발전 능력, 시각 디자인, BI, 창의성, 시각 커뮤니케이션, 아이데이션부터 컨텐츠 구체화, CI 기획, 디자인 소프트웨어 활용능력, 기본적인 디자인 기획력"
시멘트·광물제품 생산기계 조작원,"생산라인 조작 역량, 제조업 역량, 기계 조작 역량, 생산 공정 파악 역량, 생산 기계 조작 역량, 공정 유지 역량"
시설·특수 경비원,"갈등 조정, 건물 경비 관리, 청원경찰, 경비 업무, 경비 역량, 무인경비순찰, 판단력, 주택관리사, 시설·건물경비, 경비 관리, 건물관리·보수, 체력 유지, 경비신임교육, 청소·미화, 건물 보안, 대인관계 역량, 경비 관제원, 보안요원, 감시 및 보안 역량, 상황 대응 능력, 안전 및 보안 감시, 보안 관제원, 학력무관, 보안"
시스템 소프트웨어 개발자,"설계, 그래픽 디자인, 프로그래밍, Cloud환경, 보안 기술, 하드웨어 개발, 웹개발, 알고리즘, 네트워크 관리, Java, 시스템프로그래머, 머신러닝, Flutter 클라이언트 개발자, SI개발, 애플리케이션 개발자, Spring, AWS, 소프트웨어 개발, 시스템 설계"
식품공학 기술자 및 연구원,"실험, 식품 연구, 협업 능력, 실험 및 분석능력, 식품연구, 식품 공학 연구, 식품공학, 제품개발, HACCP 인증, 새로운 기술 습득, 연구개발, 김치 제조, 식품첨가물, 식품공학 기술, 제조, 식품소재개발, 식품제조실험, 발효식품, 문제해결 능력, 식품 제조 실험, 영양학"
실내장식 디자이너,"설계 디자이너 경력, 창의력, 시각 디자인, 디자인 역량, 공간 구성 역량, LX지인 전시장 상담, 시각적 감각, 컬러 감각, 공간 계획 능력"
심리상담전문가,"재활상담, 상담프로그램운영, 정신건강심리상담"
안경사,"안경 검진 및 처방안경렌즈 제작, 안경테 교정 및 수리"
안내·접수원,"응대능력, 회원 관리, 정리능력"
약사,"의약품 지식, 처방전 해석, 환자 의료 상담, 의약품 안전성, 의약품 안전성 평가 및 관리, 의약품규정, 약학"
양식 조리사,"이탈리아음식조리, 주방장경력, 식당 서비스, 식재료 활용, 팀워크, 고객 응대, 음식 맛 평가, 음식 위생 관리, 요리 기술, 스트레스 관리, 서양요리조리, 식당 운영 관리, 양식조리"
양식원,양식장 관리
어부 및 해녀,"연근해 어부, 선원"
언어치료사,"언어치료, 작업치료, 언어·청능 치료"
여행 안내원 및 해설사,"등산안내, 박물관안내, 사파리안내, 시설소개 안내, 견학담당, 행사장 시설 안내, 과학해설, 각종 해설, 녹색관광안내"
여행·호텔관리자,"고객 서비스, 호텔 운영 및 관리, 예약 시스템 이용"
연구관리자,"연구 관리, 연구개발, 연구부서 관리, 통계분석"
영상·녹화·편집 기사,"영상편집, 논리니어 편집"
영양사,"병원급식영양사, 요양원에서의 영양 관리능력, 건강 관리, 식단 계획, 영양사, 식품위생, 영양에 대한 지식, 의료 영양, 임상영양사, 영양 교육, 급식 계획 및 조리 경험, 영양관리, 급식 서비스, 위생, 급식관리"
영업·판매관리자,"영업지원, 매장관리, 영업 관리, 광고영업, 영업 전략능력, 공사 관리, 납기 일정 관리, 납품 관리, 일반 영업, 거래처 관리, 납품관리, 고객 응대, 중간 관리 역량, 거래선개발 및 관리, 판매 관리 역량, 리더십능력, 발주 관리, 공조 냉동 영업, 영업, 팀 리더십, 무역사무원, 영업기획, 영업 관련 역량, 영업 분석, 영업 전략 설정, 제품 출하 관리, 판매 관리, 운영보조, 매출관리, 영업관리, 커뮤니케이션능력, 매출분석, 기술 영업, 문제해결능력, 수불 관리, 거래선개발"
영업기획·관리·지원사무원,"지원사무, 사무업무 관리, 사무업무 처리, 영업지원, 관리, 사무 보조, 영업 관리, 통계 분석, 영업 서류 지원, 지원, 판매관리, 회계경리, 거래처 관리, 영업 실적 정리, 입사지원현황통계, 영업 지원, 사무지원, 영업서류지원, 판매지원, 영업, 기획, 업무 기획, 사무 지원, 고객 서비스 기획, 영업 기획, 현장관리, 영업서무, 영업관리, 영업문서작성, 영업사무관리, 영업기획"
온라인 판매원,"전자상거래 판매, 온라인쇼핑몰관리, 마케팅, 통신판매, 온라인 쇼핑몰 판매, 온라인 판매 관리, CS 상품등록, 판매준비, 영업, 쇼핑몰 운영, 판매관리"
외국어강사,"외국어 교육, 교육, 영어능력, 강의 계획 수립 및 진행"
외선 전기공,"이동통신 전기 시설 및 전기차 충전기 설치 작업, 배전전기원, 외선 설치 및 유지보수 역량, 전동차선로관리, 전기 관련 기술 역량, 저압케이블전공"
요양 보호사 및 간병인,"실버케어, 요양보호관리사능력검정, 의료 지원, 자차소지, 상담 및 케어 기술, 신체적 돕기, 미화원 역량, 신체활동 지원, 건강검진 결과 제출, 의료 서비스 실무 경험, 급여 제공 기록지 작성, 병원 동행, 주간보호센터 요양보호, 프로그램 보조 업무 지원, 상위등급 어르신 재가요양보호, 노인요양보호사, 주야간보호, 소진 방지, 응급 처치, 어르신, 요양보호사 선생님, 노인 돌봄, 관악구, 입사지원현황통계, 방문목욕, 의료관련 지식, 의료기기 사용, 노인 거동 보조, 산책 도우미, 요양보호사 선생님 모집, 사회복지시설 근무 경험, 재가 서비스 제공, 재가 요양보호사, 고객 서비스, 노인 건강 및 요양에 대한 이해, 소독 및 위생 관리, 응급처치능력, 의료 및 건강 관리, 의료기기 사용능력, 케어하기, 요양 및 간병 역량, 독거 노인 돌봄, 요양보호사 모집, 의료도우미, 의료 서비스 역량, 의료, 신체 돌봄, 방문목욕 역량, 요양 서비스, 신체활동지원, 노인간병, 여가 어르신 돌봄, 가사 및 일상생활지원, 보호 서비스, 요양보호에 대한 지식, 요양 보호능력, 재가 서비스 역량, 소통능력, 요양, 치매이수 요양보호, 재활운동, 요양 보호사능력, 의료 기록 관리, 요양보호 역량, 상용직전환검토, 노인 요양사, 요양서비스 제공, 노인요양보호, 초보환영, 의정부 광림요양원, 간병일상생활지원, 요양능력, 어르신 증원 관리, 셕션피딩, 노인 요양 보호 역량, 케어능력, 야간요양, 노인복지에 대한 이해, 재가요양보호 서비스 제공, 의료 및 식사 지원, 어르신 케어, 의료보조, 고나잇실 및 바디케어, 요양보호사, 일반식 준비, 요양보호능력, 요양보호사 교육, 실 운전 능력, LCMS 입력, 고객 응대, 간병 기술, 돌봄서비스 제공, 이동식 변기 사용, 노인학대 범죄 무죄 확인, 치매 관리, 여성, 요양 보호 업무능력, 요양 보호 등, 일상 생활 지원, 요양서비스, 데이케어, 사회복지사 역량, 자동차 운전면허증 소지, 시설 요양, 의료 도구 사용법, 의료 도구 사용, 병원, 방문요양, 요양 보호 서비스, 상담 및 의사소통 기술, 노인 거주 시설, 재가노인요양사, 사회복지, 인간미, 재가요양능력, 간병 역량, 간병인, 양로원 방문 보조, 의료기록 관리, 사후관리, 생활실 청소, 환자 케어, 주간 요양보호사, 보호사, 방문요양 관련 역량, 노인 요양, 시간제 근로 경험, 의료 지식, 소통 및 상담 능력, 요양보호사능력평가, 의료지식, 보호 역량, 신체케어, 치매 교육, 커뮤니케이션능력, 장애인 돌봄, 노인 케어, 가사능력, 응급 상황 대처, 노인 거주시설 관리 역량, 참을성, 이동 지원, 요양원 관리, 요양 보호 업무, 주간보호센터 관리, 방문 요양, 요양 보호사 역량, 대인소통 능력, 송영, 요양 보호 역량, 요양보호사 역량, 상담, 요양 보호 업무실무능력, 식사준비, 운전, 얼굴 기억력, 대인관계 협력능력, 교대근무, 야간근무, 개인위생 관리, 청소, 간병능력, 산업 안전관리, 4등급, 노인복지, 요양 보호사 관련 기술, 보호사능력, 여성어르신 돌봄 필요, 요양보호사 자격증 소지, 노인주간보호, 커뮤니케이션, 휴양, 투석 처리능력, 커뮤니케이션 기술, 대인 소통능력, 요양 보호 활동, 데이케어센터 관련 업무 경험, 거주자 케어, 거동 시 부축, 재가 요양, 산책보조, 요양보호사선생님, 가사지원, 어르신케어, 요양 서비스 제공, 근무 경험, 방문요양보호, 3교대 근무, 노인 건강 및 안전 유지, 언어 구사력, 화장실 도움, 의료 기술, 배려심, 어르신 돌봄, 근면성실함, 상호 의사소통 능력, 거동능력, 일상생활지원, 응급 처치 능력, 재가요양 보호, 이동서비스 업무(차량 운행), 일상생활 지원, 상호작용, 환자 응대 능력, 환자 돌보기, 요양 보호 서비스 제공, 방문요양센터 역량, 주간보호, 노인 건강 돌봄, 의료용품 관리, 환자 안정화, 인간관계능력, 실버시터, 운전 면허 2종, 기저귀 교체, 노인 관리 및 간호능력, 요양보호, 노인요양사, 프로그램 진행, 노인요양 관련 역량, 운전능력, 요양능력 평가, 거동 보조, 학력무관, 요양원 운영, 요양센터에서의 업무 경험, 적응력, 요양보호 관련 역량, 상담능력, 간병인 역량, 요양사, 환자 관리, 재가 요양 보호 역량, 정서지원, 재가요양, 노인 요양 및 보호 관리, 요양 보호 실태분석, 송영 서비스, 방문요양 역량, 의료 서비스, 의료 및 간호 역량, 시설요양, 보호, 요양보호 서비스, 어르신을 대할 줄 아는 능력, 노인 간병, 센터 환경 정리, 재가 요양보호, 건강 감독, 요양보호사능력증 소지, 보호 서비스 실시, 환자 관찰, 간병, 노인 요양 등, 목욕도움, 가정 도우미능력, 치매교육이수, 소통 및 인간관계능력, 역량을 추출할 수 없습니다., 상용직 전환 검토, 의료 보조, 의료 동행 지원, 시설 요양보호, 치매교육, 노인 거주시설 관리, 노인 요양 역량, 탑석사랑, 요양보호사 관련 역량, 간호, 보호사 기술, 근무 일정 관리, 가족적인 마음가짐, 시설요양 역량, 의료 간호 역량, 치매전문교육, 요양 보호 및 간병 역량, 재가요양보호 역량, 신체 활동 지원, 선생님, 여자어르신 요양보호, 요양보호 업무 수행 능력, 말벗, 심리 지원, 적절한 의사 소통, 재가 요양보호 관련 역량, 신체적 역량, 신체지원, 요양 보호사, 신체 건강, 일상 생활 도움, 재가 요양 역량, 요양보호 실무 경험, 노인요양, 요양 보호, 요양보호사능력, 요양보호 활동, 서비스 제공 역량, 여자 어르신 요양보호사, 요양보호사 자격증, 치매 교육이수, 노인 요양에 대한 이해, 방문요양서비스 제공, 요양 caregiving, 주간 요양 보호 역량, 주간근무"
용접기조작원,"기계 작업, 용접 작업"
용접원,"기계조립, 생산직 역량, 신입 근로자 교육, 조공, 탱크 제작경험, 제관, 손재능, 알곤용접, 산소절단, 정밀한 작업, 용접사, 보조업무 처리 능력, CO2 용접, 제관/용접, 수처리 설비 배관 용접공, 기술력, 경력 우대, 용접 기술능력, 건설기계 제조, 생산 능력, 용접 기술, 경력 요구, 기계제작, 산업기사, 산소용접, 알곤 용접, 가스용접, 제관 경력, 용접능력, 현장관리, 로봇용접, 교육 수료 후 경험을 쌓은 사람, 아세틸렌용접, 판금, 제관 작업, 수리 기술, 보조 역량, CO2용접, 보조 작업능력, 파고라 제작 기술, 사상 및 조립, 생산 직무 경험, 용접, 스팟용접, LNG선 멤브레인 설치 관련 기술"
우편물집배원,"상시집배 업무에 대한 이해, 보통운전면허, 소형면허, 자전거면허, 수당 계산, 기본 운전 역량, 운전 기술, 출근 관리, 우편물 배달, 기간 제약을 따르는 성실함, 협업능력"
운송 사무원,"배차보조, 보세운송면허, 자가승인 경험"
원예작물 재배원,"농업 기초 지식, 작물 재배 기술, 버섯 재배, 원예 작물 재배"
웨딩플래너,"웨딩 관련 업무 처리, 웨딩 상담 및 예약 관리, 고객 상담, 고객 응대"
웹 개발자,"보안 엔지니어링, 소프트웨어 개발특기, MSA (Microservices Architecture), 프로그래밍, 데이터 분석, Java, IT 개발, 시스템 엔지니어링, 프론트 엔드, 네트워크 엔지니어링, 백엔드 개발, 웹 개발, 앱 개발"
웹 운영자,"쇼핑몰 관리, 서버 설정, JavaScript, 서버 관리, 웹 사이트 관리, CSS, HTML"
웹기획자,"웹기획, 커뮤니케이션, 프로젝트 관리"
웹디자이너,"사무보조, 그래픽 디자인, 웹 디자인, 포토샵, 마케팅, 디자인 역량, 쇼핑몰 관리, 웹 UI디자인, UI/UX 디자인, 온라인 쇼핑몰 상품등록 및 관리, 디자인, UI 디자인, 오픈마켓 상품 등록 및 관리, 웹페이지 디자인, 웹디자인, 반응형, 영상디자인, 그래픽디자인, 포토샵 디자인, 쇼핑몰운영, 웹 UI디자이너, 포토샵 디자이너, HTML"
웹방송전문가(콘텐츠제작자),"영상 기획 및 제작, 미디어 제작"
유리·유리제품 생산기계 조작원,"유리 제조 기술, 생산기계 조작, 유리제품 생산, 강화, 재단, 출하 경험, 전처리, 생산직 경력, 기계 조작"
유치원 교사,"유치원 교육, 입사지원현황통계, 유아교육, 교육, 유아 교육, 사고력, 학력무관, 영어 수업"
육류·어패류·낙농품 가공기계 조작원,"육계 가공, 포장, 라운드컷팅기 사용능력"
육아 도우미,"육아, 아기돌보미"
은행 사무원,"금융사무, 금융영업, 심사"
음료 제조기계 조작원,"기계 조작능력, 제조 공정 이해력"
음료조리사,"커피 조리, 매장 매니저, 고객 응대, 서빙, 음료 조리, 커피 제조, 음료 제조 및 서빙, 소통 능력, 바리스타, 바리스타 스킬, 협업능력"
음식서비스관리자,"입사지원현황통계, 음식 서비스 관리, 패스트푸드 매니저 실무 경력, 음식서비스, 조리, 동종 햄버거 매장근무 경험"
응급구조사,"환자 간호, 의료기기 사용, 의료 협력하기, 응급처치"
응용 소프트웨어 개발자,"인공지능, 인공지능 연구, 자동제어, 제어, 프론트엔드 백엔드 개발 등, 플랫폼 설계 개발, 자바, PC프로그램 개발"
의료코디네이터,"의료 관련 역량, 서비스 역량, 의료 상담, 직무능력 향상 교육 관련 역량, 환자 의료 정보 관리, 의료 서비스 관련 업무 경험, 심리상담"
인사·교육·훈련 사무원,"계약직 관리와 전환, 노무 사무직 관련 역량, 프로그램운영, 입사지원현황통계, 직업교육 운영, 원서 접수 관리, 인사관리, 입사지원현황 통계분석, 사획복지 관련 교육"
인쇄기계 조작원,"복사 및 출력 기술, 인쇄 장비 유지보수능력, 윤전 인쇄, 오프셋 인쇄, 인쇄기술, 옵셋인쇄원, 사진인화, 옵셋인쇄기, 기계 조작능력, 인쇄 기술, 옵셋 인쇄생산, 보조기사, 기계 조작, 인쇄 공정 이해"
일반기계 조립원,"기계 조립 경력, 기계 조립"
일식 조리사,"음식 데코, 레시피 사이드 조리, 재료 손질 및 반찬 셋팅, 장어 손질 및 굽기, 일식 조리 기술"
임상병리사,"병리학, 진단, 임상병리학"
임학·산림학연구원,"시공관리, 산림사업 설계감리, 산림엔지니어링"
자동조립라인·산업용로봇 조작원,"자동조립라인 조작, 산업용 로봇 조작, 생산 직무능력"
자동차 부품 조립원,"자동차 전기 전장 부품 조립(계기판) 생산, 자동차 봉제품 검사, 자동차 부분품 조립, 부품 조립 기술, 단순생산직, 부품 조립, 자동차 부품 조립, 생산 라인 작업능력, 품질 검사 능력, 검사능력, 용접, 2교대 근무 가능성"
자동차 정비원,"기아오토큐 보증서비스, 자동차 정비 기술, 자동차 판금 정비 기술, 수리, 정비 기능사, 카센터경정비, 화물차 구조변경, 자동차정비, A/S 엔지니어링 경력, 자동차 정비 관련 기술, 정비 역량, 커리어 빌딩, 보강, 적재함 및 탑 교체, 리프트 제작 및 장착, 산소, 변화에 대한 적응력, 자동차오일교환, 용접, 전기차 고전압 정비 기술"
자동차공학기술자,"개발능력, 자동차부품개발, 기술연구, 자동차공학, 연구 기술력, R&D 생산기술 개발, 자동차부품개발기술, 기술 연구"
자동차부품조립·검사원,"조립, 제조 조립, 생산 능력, 검사 포장, 검사, 포장 및 완충재 가공 관련 역량, 자동차 에어컨 버튼 조립, 부품 조립, 생산 진행 과정 파악, 품질관리, 조립기술, 자동차 부품 조립, 세척, 검사능력, 자동차 부품 검사"
자재·구매·물류 사무원,"재고 관리, 사무 업무 처리, 지게차 운전, 물류 관리, 물류 운영, 상품입출고, 사무 업무, 자재 구매, 구매, 자재, 외주업체 관리, 물류 시스템 운영, 물류관리, 상품관리, 물류, 지게차 업무, 자재 구매 물류 관리, 사무 업무 처리 및 문서 작성, 발주, 자재관리"
자재·구매사무원,"부품자재 관리, 부자재 구매, 구매 관리, 물류 관리, 기계부품자재, 발주서 작성, 컴퓨터 관련 역량, 자재 발주 및 매입관리, 사무 업무 관리, 주문서 작성, 재고관리, 금속자재, 사무 업무, 생산 계획별 자재 반출, 자재 구매, 전기, 전자, 컴퓨터, 영업 부 관리, 구매, 검수, 구매관리, 철강 입출고 관리, 자재구매, 섬유 의류 관련 역량, 생산 일정별 자재정리, 부품 구매, 구매 업무, 외주관리, 자재수불, 사무업무, 엑셀 능통 및 ERP 경험 (특급 우대), 자재 출고 바코드 입력, 자재수급계획, 부품구매, 생산관리, 부품자재관리, 구매자재 관리, 자재 관리, 원가분석, 자재관리"
